year,month,format,sst_mean,t2m_mean,d2m_mean,deltaT_mean,wind_speed_mean
1990,07,nc,300.9058532714844,299.4703063964844,296.83929443359375,-1.4355591535568237,8.52817153930664
1991,07,nc,301.4750671386719,299.63031005859375,297.16754150390625,-1.8447662591934204,8.247915267944336
1992,07,nc,301.5225524902344,299.90020751953125,297.2328796386719,-1.6223762035369873,7.052096366882324
1993,07,nc,301.8695068359375,299.9847106933594,297.406005859375,-1.8848105669021606,7.636160850524902
1994,07,nc,300.9309997558594,299.34088134765625,296.9648132324219,-1.5901292562484741,8.764344215393066
1995,07,nc,301.3736877441406,299.804443359375,297.3785705566406,-1.569200038909912,7.264632701873779
1996,07,nc,300.8937683105469,299.4320373535156,296.9980163574219,-1.4617410898208618,7.128819465637207
1997,07,nc,301.8049621582031,300.05548095703125,297.5978698730469,-1.7494611740112305,7.902939796447754
1998,07,nc,301.7538757324219,300.0696716308594,297.51568603515625,-1.6842063665390015,6.9671311378479
1999,07,nc,300.94989013671875,299.4813537597656,296.9437255859375,-1.4685455560684204,7.75926399230957
2000,07,nc,301.25860595703125,299.59423828125,296.76983642578125,-1.664345383644104,7.603568077087402
2001,07,nc,301.02410888671875,299.31219482421875,296.8045959472656,-1.7119137048721313,7.744349479675293
2002,07,nc,301.67559814453125,300.07073974609375,296.9339294433594,-1.60486900806427,7.833281993865967
2003,07,nc,302.1004638671875,299.8962707519531,297.4075622558594,-2.204197645187378,6.907674312591553
2004,07,nc,301.9013671875,299.65472412109375,296.9595642089844,-2.2466275691986084,6.283400058746338
2005,07,nc,301.6919250488281,299.9864196777344,297.3613586425781,-1.7054941654205322,7.317737102508545
2006,07,nc,301.2127990722656,299.5925598144531,297.07177734375,-1.6201975345611572,8.949640274047852
2007,07,nc,301.82989501953125,300.0976257324219,297.4512023925781,-1.7322630882263184,7.21560525894165
2008,07,nc,301.32208251953125,299.7447814941406,297.0344543457031,-1.577294945716858,7.153124809265137
2009,07,nc,301.2550048828125,299.6522521972656,297.291748046875,-1.6027593612670898,8.284172058105469
2010,07,grib,302.0686340332031,299.89678955078125,297.48223876953125,-2.1718504428863525,7.056891918182373
2011,07,grib,301.354248046875,299.5100402832031,297.2347106933594,-1.8442312479019165,6.591380596160889
2012,07,grib,301.7296142578125,299.9614562988281,297.29962158203125,-1.7681810855865479,7.129729747772217
2013,07,grib,300.7655334472656,299.1021423339844,296.7407531738281,-1.6633810997009277,8.289515495300293
2014,07,grib,301.7734069824219,299.8031921386719,297.18963623046875,-1.9702062606811523,7.855945110321045
2015,07,grib,301.34246826171875,300.2617492675781,297.3263854980469,-1.080697774887085,7.646322727203369
2016,07,grib,301.3300476074219,299.6297607421875,297.1947326660156,-1.700295090675354,7.165860652923584
2017,07,grib,301.47711181640625,299.8810119628906,297.36474609375,-1.5960657596588135,7.961153507232666
2018,07,grib,301.28363037109375,299.7281494140625,297.19891357421875,-1.5554605722427368,8.424930572509766
2019,07,grib,301.8591613769531,300.0770263671875,297.6983642578125,-1.78214430809021,6.813229560852051
2020,07,grib,302.3772277832031,300.31427001953125,297.8086242675781,-2.062974452972412,5.712406158447266
2021,07,grib,302.0729675292969,300.2854919433594,297.4428405761719,-1.7874512672424316,7.349375247955322
2022,07,grib,301.3660583496094,299.6952819824219,297.1055603027344,-1.6707655191421509,7.480258941650391
2023,07,grib,301.6051025390625,299.85638427734375,297.61883544921875,-1.7487212419509888,7.743653774261475
2024,07,grib,301.9276428222656,300.3503112792969,298.063232421875,-1.5773406028747559,8.4861478805542
2025,07,grib,301.344482421875,299.9031066894531,297.3919372558594,-1.441382646560669,7.9264702796936035
