year,month,format,sst_mean,sst_std,t2m_mean,delta_T_mean,delta_T_std,n_hours
1982,01,nc,299.0619201660156,0.352284699678421,296.5080261230469,-2.5538625717163086,1.4867366552352905,744
1983,01,nc,298.8887634277344,0.23531734943389893,296.3995666503906,-2.4892067909240723,1.7658755779266357,744
1984,01,nc,298.4052429199219,0.35394400358200073,295.65472412109375,-2.750478744506836,1.6770669221878052,744
1985,01,nc,298.9259948730469,0.2540828287601471,296.6773376464844,-2.248661518096924,1.6955729722976685,744
1986,01,nc,299.3321228027344,0.20885248482227325,296.8248596191406,-2.507301092147827,1.6059930324554443,744
1987,01,nc,298.8575744628906,0.06347884237766266,296.9544982910156,-1.903040885925293,1.7116577625274658,744
1988,01,nc,300.4487609863281,0.22404508292675018,297.988525390625,-2.46022367477417,1.6450846195220947,744
1989,01,nc,299.1954040527344,0.45716747641563416,296.7349548339844,-2.4604403972625732,1.7179737091064453,744
1990,01,nc,299.7706604003906,0.18325389921665192,297.976806640625,-1.7938616275787354,1.8099724054336548,744
1991,01,nc,299.06494140625,0.3565683364868164,296.40814208984375,-2.6567790508270264,2.3607497215270996,744
1992,01,nc,299.0553894042969,0.3197474181652069,296.722900390625,-2.332491397857666,1.8169991970062256,744
1993,01,nc,299.5623779296875,0.35024532675743103,297.23077392578125,-2.3315908908843994,1.8010621070861816,744
1994,01,nc,299.8260803222656,0.17634741961956024,297.2520446777344,-2.5739870071411133,1.845730185508728,744
1995,01,nc,298.8739013671875,0.29809603095054626,296.0846252441406,-2.7892768383026123,1.6781364679336548,744
1996,01,nc,299.2828369140625,0.2076176106929779,296.9566650390625,-2.326172113418579,1.698071837425232,744
1997,01,nc,299.4934997558594,0.23984919488430023,296.48974609375,-3.0037388801574707,1.7062737941741943,744
1998,01,nc,300.23028564453125,0.39666736125946045,297.1645812988281,-3.0657384395599365,1.804817795753479,744
1999,01,nc,299.1669006347656,0.2265232503414154,296.33819580078125,-2.8287124633789062,1.8199491500854492,744
2000,01,nc,299.7533874511719,0.1398710459470749,297.3748779296875,-2.3785085678100586,1.7563049793243408,744
2001,01,nc,299.4002685546875,0.33404213190078735,296.9627990722656,-2.4374797344207764,1.846437931060791,744
2002,01,nc,300.1383361816406,0.5404857993125916,296.6307678222656,-3.507572889328003,1.8703677654266357,744
2003,01,nc,299.8605041503906,0.15689368546009064,297.71478271484375,-2.1457295417785645,1.7336534261703491,744
2004,01,nc,300.0833740234375,0.28570500016212463,297.0269775390625,-3.0564076900482178,1.7323909997940063,744
2005,01,nc,299.5932312011719,0.398370623588562,296.5205078125,-3.0727479457855225,1.7956351041793823,744
2006,01,nc,299.5501403808594,0.25169849395751953,297.23382568359375,-2.3163459300994873,1.951994776725769,744
2007,01,nc,299.80828857421875,0.3067035973072052,297.6734619140625,-2.1348421573638916,1.7833702564239502,744
2008,01,nc,299.49981689453125,0.3412681519985199,296.5640869140625,-2.9357340335845947,1.981627106666565,744
